id,source_project_url,last_update_source,forks,url_fork,last_update_fork,commits_behind
1,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/307509256/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
2,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/AnbuKumar-maker/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
3,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/andrewcheny/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
4,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/bobby20180331/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
5,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/Bvgo/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
6,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/Chomolungma/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
7,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/ClassNotDefined/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
8,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/Cobionix/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
9,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/DreamForTek/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
10,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/evsenin/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
11,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/GaryHalo/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
12,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/gilblankenship/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
13,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/gyuseokByeon/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
14,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/ianqnap/jetson-cloudnative-demo,on 20 May 2020,This branch is 2 commits behind NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
15,"https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo
",on 15 Oct 2020,41,https://github.com/isabella232/jetson-cloudnative-demo,on 15 Oct 2020,This branch is up to date with NVIDIA-AI-IOT/jetson-cloudnative-demo:master.
